,window_size_2,window_size_3,window_size_4,window_size_5,window_size_6,window_size_7,window_size_8,window_size_9,window_size_10,window_size_11,window_size_12,window_size_13,window_size_14,window_size_15,window_size_16,window_size_17,window_size_18,window_size_19,window_size_20,window_size_21,window_size_22,window_size_23,window_size_24,window_size_25,window_size_26,window_size_27,window_size_28,window_size_29,window_size_30,window_size_31,window_size_32,window_size_33,window_size_34,window_size_35,window_size_36,window_size_37,window_size_38,window_size_39,window_size_40,window_size_41,window_size_42,window_size_43,window_size_44,window_size_45,window_size_46,window_size_47,window_size_48,window_size_49,window_size_50,window_size_51,window_size_52,window_size_53,window_size_54,window_size_55,window_size_56,window_size_57,window_size_58,window_size_59
RMSLE,0.647721439942336,0.579795597170969,0.5341155763751209,0.5438719739948875,0.5161443315704365,0.49113324667482816,0.4700887665154877,0.4568439680165444,0.438136961690432,0.41711264438793244,0.423622742250533,0.42594674635124147,0.42531976667590204,0.4278254193517915,0.43361613905436985,0.4434860096438498,0.45253382925144164,0.4622183125788702,0.4704091337051044,0.4796225687957685,0.4883070060749699,0.49742247600562445,0.5061819485174379,0.5137835705418843,0.521251954616904,0.528241135461311,0.5356212620644031,0.5434569098220233,0.5505377608820944,0.5573800057634435,0.5639101371502165,0.5702756316951566,0.5756798892263596,0.5803857468174093,0.5848304487594685,0.588725615771158,0.59267735905081,0.595768663269446,0.5981789485863601,0.5994471623979798,0.6004884842369217,0.6014779472292415,0.601787667966838,0.6019259486914794,0.6011749442084884,0.6000796712386726,0.5980264736610187,0.5959963291213738,0.5933897337280624,0.5903523091582513,0.5873007685139755,0.5841298117932605,0.5810748436943367,0.5789438246941986,0.5772486801137459,0.5756839416400852,0.5743824588341734,0.5729187983008502
MAE,6610.16906355077,4074.9081430388073,3702.3131415262196,3993.2000106280834,3857.825785596126,3780.751154036846,3758.8191987189316,3690.662436577626,3453.5673187552266,3139.7192615627305,3226.686450569948,3292.038091169369,3348.1658551743158,3399.380824462618,3489.9128409425616,3591.4981523415922,3686.46012412487,3767.1553868000183,3848.400947957899,3913.1317063783536,3979.9044772964417,4031.5788431581127,4088.7524038387673,4134.436427000272,4177.275751044052,4218.777078211158,4267.065408018807,4318.326544509605,4371.086982748879,4416.3234288354,4460.848039257647,4503.3217400828025,4533.269913647061,4551.920274271259,4567.9187533030945,4584.0320481761155,4600.235763525949,4610.572410429306,4619.572300305155,4627.329206758661,4641.3697238500245,4655.364718932533,4667.081382410038,4677.570628826763,4684.554721650284,4689.9331191160645,4693.931635249677,4699.1937758906915,4703.455913103413,4704.421273408865,4706.488745003062,4706.36598587572,4705.292494395872,4700.196207787973,4694.431829438206,4685.832394920649,4676.511117378447,4666.236779798938
RMSE,22694.649113284646,12168.629802697666,8882.546317034183,11436.52233263833,11007.497383597547,10928.458705721809,10855.814909010973,10724.583987601407,9333.169613401082,5606.3184876909945,5706.141336970498,5866.275143069121,6019.200966921935,6133.76834710913,6297.750141977617,6442.936469031576,6572.130723266738,6664.429271621726,6751.489740685497,6808.586091511045,6907.021339900341,6961.190480712234,7053.880445476557,7127.291474448125,7178.645175155967,7240.523987986226,7298.837551578498,7364.499442511058,7439.140055331937,7512.28890403877,7590.318588213429,7671.361045949831,7727.4475924629905,7749.168471851227,7768.615611358208,7794.480946209228,7819.006607255822,7829.749627067964,7837.03932680126,7847.951334110163,7887.372996112088,7917.851705647767,7941.067558878539,7965.752836908635,7984.986863194639,8006.621969528547,8024.562198757917,8047.670839055815,8064.954643586353,8071.535390505764,8079.007129209317,8079.7351971167855,8080.652614492447,8076.5856931950475,8064.318813169807,8051.4086445447965,8039.830234659057,8012.803255282574
MAPE,0.7522131036849109,0.48534723636261173,0.4592344869849382,0.494722584880699,0.45799661851677226,0.44247751759758686,0.43660360631079675,0.4201685640529873,0.3841758907172576,0.3391785774267268,0.34813584155246985,0.35408815969368246,0.36050782199127296,0.3692571299929096,0.37911619223269866,0.3902114475290551,0.4003978692135865,0.41185235171592305,0.42244834579968665,0.4331185448381287,0.4440791468489128,0.45402347638935625,0.46337227622218213,0.47172535975623164,0.48027745271656747,0.4876754737218921,0.4960781462780525,0.5052201909895321,0.5141670501268482,0.5227348953921441,0.5311067904407927,0.5391101502403026,0.5455323584387715,0.5501768073670372,0.5540587013822077,0.5570471687749293,0.5595110613910547,0.5607703901851536,0.5614003306685846,0.5606567815052418,0.5596092361106169,0.5577849058984992,0.5557675152412281,0.5527397798595765,0.5490101117510094,0.5455011100241075,0.5411343671331255,0.5362566293563903,0.5313431221558126,0.5258253438046254,0.5198690328803481,0.5135751113716217,0.5070574700964988,0.5010307614598373,0.4955143529878638,0.48983784521026946,0.4852926543322488,0.4812748953229402
