,step_1,baseline_step_1,step_2,baseline_step_2,step_3,baseline_step_3,step_4,baseline_step_4,step_5,baseline_step_5,step_6,baseline_step_6,step_7,baseline_step_7,step_8,baseline_step_8,step_9,baseline_step_9,step_10,baseline_step_10,step_11,baseline_step_11,step_12,baseline_step_12,step_13,baseline_step_13,step_14,baseline_step_14
RMSLE,0.02722474477151257,0.05160357182248255,0.05205047336556966,0.09891735047890776,0.07602384275832741,0.14531856253595077,0.10151234184831258,0.1910575353293114,0.1281907403501541,0.23605006394699735,0.15567920634144192,0.280746067857313,0.18754545323759092,0.32535030870627835,0.2197927858055672,0.3694531762376443,0.25444724470462016,0.4132266353399942,0.28997082739616575,0.4564693502467383,0.3258311155150024,0.4990259816691513,0.36244727167849294,0.5408226157408298,0.3994291588812711,0.5820304646897096,0.4362729287921595,0.6227253752017105
MAE,120.5817430386405,303.41899441340763,245.31438016564815,603.9553072625695,375.3677991136571,905.2402234636871,522.6933773204012,1203.8882681564246,691.9521276221203,1502.7541899441342,874.4693140283212,1801.3575418994412,1078.8581086437393,2098.3854748603344,1317.4970693801881,2395.7039106145244,1574.5949989457124,2692.0670391061444,1860.3376704393838,2987.486033519553,2162.3735438596455,3280.5754189944128,2477.9298078616707,3573.7932960893854,2811.96105441837,3862.759776536312,3160.588343307824,4150.726256983239
RMSE,186.71370249735136,468.8097254315633,399.58700859355764,923.9395370674555,625.4431559800929,1370.654522930213,879.2036308727628,1811.7112994078923,1148.5453104402532,2247.1701098922827,1446.0173331871724,2678.1750300568688,1790.6677941697742,3106.12710136472,2197.550250041578,3531.0372437514407,2657.2912536114895,3950.4793882069603,3141.1103851824223,4362.3079356161525,3643.306363823792,4765.516239980675,4178.993354572795,5159.328365085027,4737.577032206146,5544.827612414712,5330.210320496599,5922.784370877484
MAPE,0.01784242641932139,0.03829351303539932,0.0354041798160646,0.07461464603379733,0.050806910426327435,0.11007260072109369,0.06671216181628234,0.14479886121560495,0.08328783082218673,0.17943517407574439,0.10110840814615854,0.21455266576744395,0.12076471596012882,0.24991009996634517,0.14262869691186666,0.2856100711511797,0.1666944470346443,0.3216247801371799,0.19246068807588762,0.3581377214781348,0.2178455905433514,0.3949196834670312,0.2446665165308204,0.4322245389680678,0.2728773963211464,0.4695951613622054,0.3008508193924997,0.5075065063198486
