,step_1,baseline_step_1,step_2,baseline_step_2,step_3,baseline_step_3,step_4,baseline_step_4,step_5,baseline_step_5,step_6,baseline_step_6,step_7,baseline_step_7,step_8,baseline_step_8,step_9,baseline_step_9,step_10,baseline_step_10,step_11,baseline_step_11,step_12,baseline_step_12,step_13,baseline_step_13,step_14,baseline_step_14
RMSLE,0.16312526793796606,0.44725501153770914,0.1737065705479036,0.603730447073968,0.1960171196853924,0.6240484621881656,0.22322412896073454,0.6386879914328916,0.2512838975527295,0.6479793593639073,0.28080807477951564,0.5313294496112697,0.31622220907358256,0.3679053045028777,0.37006495461104433,0.5871473708046386,0.41031429888556914,0.7335174654754757,0.45490731653219146,0.7687277976908535,0.5012986153478869,0.7959444407039201,0.5517130077677256,0.8186491931927298,0.6014761780413358,0.7479005676725161,0.6445238566810944,0.6596277842297986
MAE,573.1904367547914,1801.6256983240232,838.3802292948405,2941.1340782122898,1054.0902262249756,3239.7374301675964,1322.0061359456527,3347.0335195530715,1596.12188536291,3380.9944134078214,1910.8886170800106,2739.4581005586588,2252.6289830594533,2187.787709497207,2877.4250144873463,3193.754189944134,3578.7523837479753,4069.709497206704,4317.712185135622,4416.893854748602,5209.995629330201,4540.636871508379,6144.64073615142,4690.100558659217,7128.741840415868,4384.653631284917,8099.593249727984,4275.949720670391
RMSE,964.5315440928305,3275.6567024647497,1582.189121687704,4835.300650991089,2110.371769437673,5179.186055311269,2774.4922932358813,5318.50827103336,3488.409998521533,5272.669031437853,4253.521261873352,4284.747547695901,5019.6597677655345,3308.3616428341893,6758.79308054461,4883.625458623105,9013.103676693765,6217.700548573551,11642.896861970949,6671.222863285268,14918.188896147889,6939.572643129671,18120.549199091725,7066.18014355911,21231.298441348586,6601.456415826424,23361.344691883052,6251.802758105615
MAPE,0.09800956470888965,0.3098253327303208,0.11790521046012176,0.5233787294829091,0.1348185014988875,0.5491829840217323,0.15432868523640467,0.5771236384167083,0.173180437700892,0.5825853893388389,0.19567358299446025,0.46075251246937793,0.21424070695986402,0.27742772144724726,0.26064287079672505,0.4685820190241656,0.304437770690057,0.662176914446178,0.3433575888560814,0.70102216583972,0.3879726005362696,0.732579122738323,0.4364734694362385,0.7619022810527671,0.4929883466620156,0.6671192430897326,0.5362748257147759,0.5362959482953702
