,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14
RMSLE,0.02722474477151257,0.05205047336556966,0.07602384275832741,0.10151234184831258,0.1281907403501541,0.15567920634144192,0.18754545323759092,0.2197927858055672,0.25444724470462016,0.28997082739616575,0.3258311155150024,0.36244727167849294,0.3994291588812711,0.4362729287921595
MAE,120.5817430386405,245.31438016564815,375.3677991136571,522.6933773204012,691.9521276221203,874.4693140283212,1078.8581086437393,1317.4970693801881,1574.5949989457124,1860.3376704393838,2162.3735438596455,2477.9298078616707,2811.96105441837,3160.588343307824
RMSE,186.71370249735136,399.58700859355764,625.4431559800929,879.2036308727628,1148.5453104402532,1446.0173331871724,1790.6677941697742,2197.550250041578,2657.2912536114895,3141.1103851824223,3643.306363823792,4178.993354572795,4737.577032206146,5330.210320496599
MAPE,0.01784242641932139,0.0354041798160646,0.050806910426327435,0.06671216181628234,0.08328783082218673,0.10110840814615854,0.12076471596012882,0.14262869691186666,0.1666944470346443,0.19246068807588762,0.2178455905433514,0.2446665165308204,0.2728773963211464,0.3008508193924997
