,step_1,baseline_step_1,step_2,baseline_step_2,step_3,baseline_step_3,step_4,baseline_step_4,step_5,baseline_step_5,step_6,baseline_step_6,step_7,baseline_step_7,step_8,baseline_step_8,step_9,baseline_step_9,step_10,baseline_step_10,step_11,baseline_step_11,step_12,baseline_step_12,step_13,baseline_step_13,step_14,baseline_step_14
RMSLE,0.05331630099506811,0.05331630099506811,0.07544838992282785,0.10219765009554915,0.0998648091995666,0.15013967842333165,0.1262645242755546,0.19743497775230173,0.15457888558765823,0.24392663185129096,0.18426296137235934,0.2900548450560647,0.21641127915348127,0.33602172947777464,0.2504648062964089,0.3814649196250905,0.2856528055384708,0.42653698683878194,0.3209231855065321,0.47106416842429744,0.3568771360445021,0.5148937778258277,0.3940278561280095,0.5579019682200657,0.4317621827225251,0.6003358018523536,0.4695304905320676,0.6422681814835404
MAE,321.9580838323353,321.9580838323353,416.5181911396027,641.3353293413173,530.2108200195077,961.4491017964071,664.7303431464668,1279.3053892215569,819.2688948831084,1597.1497005988024,994.5851119505497,1913.5748502994013,1192.250973723264,2227.6467065868264,1413.252144118103,2541.562874251497,1653.9594537110268,2853.988023952096,1910.7180769670176,3164.9580838323354,2176.974702993601,3473.562874251497,2476.3660666399924,3781.9700598802397,2802.473294834541,4086.502994011976,3157.478533692675,4390.508982035928
RMSE,485.12633702392566,485.12633702392566,650.3778349007114,956.1237142160148,850.2164604840822,1418.4268295046745,1074.3302170700788,1874.9524768428564,1326.294883735139,2325.630072374567,1608.4085781247516,2771.606874120256,1946.1759931219324,3214.3253815820567,2353.520166167544,3653.8867723165945,2811.2620998063494,4087.744274962052,3311.956159017279,4513.721956898942,3872.3441484763857,4930.7945084975845,4513.983639226433,5338.090902657048,5262.675920541713,5736.842430975798,6147.665555015499,6127.837823345324
MAPE,0.04030530189805944,0.04030530189805944,0.0538471467831847,0.0785908996635903,0.06827698014112508,0.11591689550377708,0.08345415127903573,0.15257817841542226,0.10016650865990225,0.18906107587824753,0.11818711074247935,0.22574942435406428,0.13745660625487713,0.26247012908330986,0.158197530277736,0.2994154269367067,0.18068073470946983,0.33653014923610824,0.20351472779327243,0.37404622114767816,0.2263779905071797,0.4118565024482017,0.252505799805041,0.45007861177155006,0.27970414956447426,0.48852279567640183,0.30647125903353856,0.5276695035172928
